Municípios,Código,Gentílico,População 2010,Área da unidade territorial (km²),Densidade demográfica (hab/km²),PIB a preços correntes
Juquitiba,3526209,juquitibense,28.737,"522,18","55,0",285.469
Lagoinha,3526308,lagoinhense,4.841,"255,47","19,0",64.845
Laranjal Paulista,3526407,laranjalense,25.251,"384,02","65,8",493.789
Lavínia,3526506,lavinense,8.779,"537,73","16,3",163.41
Lavrinhas,3526605,lavrinhense,6.59,"167,07","39,5",67.52
Leme,3526704,lemense,91.756,"402,87","227,8",1.736.583
Lençóis Paulista,3526803,lençoiense,61.428,"809,49","75,9",2.010.306
Limeira,3526902,limeirense,276.022,"580,71","475,3",7.462.998
Lindóia,3527009,lindoiano,6.712,"48,76","137,7",96.394
Lins,3527108,linense,71.432,"571,54","125,0",2.148.481
Lorena,3527207,lorenense,82.537,"414,16","199,3",1.440.098
Lourdes,3527256,lourdense,2.128,"113,74","18,7",33.576
Louveira,3527306,louveirense,37.125,"55,13","673,4",10.970.825
Lucélia,3527405,luceliense,19.882,"314,76","63,2",260.831
Lucianópolis,3527504,lucianopolense,2.249,"189,82","11,9",38.273
Luís Antônio,3527603,luís-antoniense,11.286,"598,77","18,9",646.741
Luiziânia,3527702,luiziano,5.03,"166,55","30,2",71.19
Lupércio,3527801,lupercense,4.353,"154,49","28,2",65.155
Lutécia,3527900,luteciano,2.714,"474,93","5,7",63.059
Macatuba,3528007,macatubense,16.259,"225,21","72,2",512.642
Macaubal,3528106,macaubalense,7.663,"248,13","30,9",123.674
Macedônia,3528205,macedoniense,3.664,"327,72","11,2",48.376
Magda,3528304,magdense,3.2,"311,71","10,3",68.928
Mairinque,3528403,mairinquense,43.223,"210,31","205,5",949.057
Mairiporã,3528502,mairiporense,80.956,"320,70","252,4",1.284.554
Manduri,3528601,mandurinense,8.992,"229,05","39,3",113.693
Marabá Paulista,3528700,marabaense,4.812,"918,77","5,2",94.807
Maracaí,3528809,maracaiense,13.332,"533,94","25,0",556.025
Marapoama,3528858,marapoamense,2.633,"111,27","23,7",82.171
Mariápolis,3528908,mariapolense,3.916,"185,90","21,1",38.778
Marília,3529005,mariliense,216.745,"1.170,25","185,2",4.339.879
Marinópolis,3529104,marinopolense,2.113,"77,83","27,2",30.567
Martinópolis,3529203,martinopolense,24.219,"1.252,71","19,3",399.98
Matão,3529302,matonense,76.786,"524,86","146,3",4.922.607
Mauá,3529401,mauaense,417.064,"61,87","6.741,4",7.633.782
Mendonça,3529500,mendoncino,4.64,"195,04","23,8",68.646
Meridiano,3529609,meridianense,3.855,"229,25","16,8",63.689
Mesópolis,3529658,mesopolense,1.886,"148,86","12,7",52.143
Miguelópolis,3529708,miguelopense,20.451,"821,96","24,9",357.724
Mineiros do Tietê,3529807,mineirense,12.038,"213,24","56,5",145.974
Mira Estrela,3530003,mira-estrelense,2.82,"216,83","13,0",43.651
Miracatu,3529906,miracatuense,20.592,"1.001,54","20,6",269.014
Mirandópolis,3530102,mirandopolense,27.483,"918,80","29,9",351.527
Mirante do Paranapanema,3530201,mirantense,17.059,"1.239,08","13,8",169.826
Mirassol,3530300,mirassolense,53.792,"243,29","221,1",1.116.334
Mirassolândia,3530409,mirassolandense,4.295,"166,17","25,9",52.527
Mococa,3530508,mocoquense,66.29,"854,86","77,6",1.290.752
Mogi das Cruzes,3530607,mogiano,387.779,"712,67","544,1",9.646.383
Mogi Guaçu,3530706,guaçuano,137.245,"812,16","169,0",3.107.953
Moji Mirim,3530805,mogi-miriano,86.505,"497,80","173,8",3.020.644
Mombuca,3530904,mombucano,3.266,"133,70","24,4",51.752
Monções,3531001,monçolense,2.132,"104,24","20,5",75.786
Mongaguá,3531100,mongaguano,46.293,"142,01","326,0",702.523
